NAME;LUN;LUN_REDUCED;NAME_TYPE;TYPE;TYPE_IAU;SUBTYPE;PROCESS;PERIOD;PERIOD_SOURCE;GEOLOGY;NAME_DETAIL;NAME_ORIGIN;IAU_APPROVAL;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CALCUL NATIONLITY;CENTURY_N;CENTURY_C;BIRTH_PLACE;BIRTH_DATE;DEATH_PLACE;DEATH_DATE;FACTS;LONGI_N;LONGI_N_360;LONGI_C;LATI_N;LATI_C;FACE;QUADRANT;AREA;RUKL;RUKL_C;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTH_KM;WIDE_KM;LENGTH_MI;WIDE_MI;LENGTH_ARCSEC;HEIGHT_M;HEIGHT_FE;RAPPORT;PROFIL;FLOOR_DIAMETER_KM;PEAK_HEIGHT_KM;PEAK_DIAMETER_KM;EXCAVATION_DEPTH_KM;MELTING_DEPTH_KM;EJECTA_THICK_M_1RADIUS;EJECTA_THICK_M_3RADIUS;EJECTA_THICK_M_5RADIUS;RADAR_BRIGHT_HALO_RADIUS;RADAR_DARK_HALO_RADIUS;GENERAL_1;GENERAL_2;SLOPES;WALLS;FLOOR;ELGER_1895;INTEREST_N;INTEREST_C;LUNATION;MOONDAY_S;MOONDAY_M;DIAM_INST;TH_INSTRU;PR_INSTRU;IAU_FEATURE_NAME;IAU_CLEAN_FEATURE_NAME;IAU_FEATURE_ID;IAU_DIAMETER;IAU_CENTER_LATITUDE;IAU_CENTER_LONGITUDE;IAU_NORTHERN_LATITUDE;IAU_SOUTHERN_LATITUDE;IAU_EASTERN_LONGITUDE;IAU_WESTERN_LONGITUDE;IAU_COORDINATE_SYSTEM;IAU_CONTINENT;IAU_ETHNICITY;IAU_FEATURE_TYPE;IAU_FEATURE_TYPE_CODE;IAU_QUAD_NAME;IAU_QUAD_CODE;IAU_APPROVAL_STATUS;IAU_APPROVAL_DATE;IAU_REFERENCE;IAU_ORIGIN;IAU_LINK
DOME MARIUS 15;TH1312N5401W;1312N5401W;Formation répertoriée;Dôme;TH;Bouclier volcanique;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Marius n° 15;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Astronome;Allemagne;allemand;Allemand;16;16 ème siècle;Gunzenhausen;1570;Ansbach;1624;Découvreur des 4 gros satellites de Jupiter indépendamment de Galilée et inventeur de leurs noms. 1er observateur occidental de la galaxie d'Andromède;-54,01026952;305,99;54 ° 1 '  Ouest;13,12051328;13 ° 7 '  Nord;Face visible;Nord - Ouest;Partie centrale de l'Océan des Tempêtes;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;Non décrit;IV-150-H2;5;5;3;3;2,5;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;NO du cratère Marius;Description ALPO : Plat et circulaire.;;;;Non décrit;3;Formation très intéressante;12;5 jours après le Premier Quartier;4 jours après le Dernier Quartier;50;Lunette 50 mm;Instruments 100 mm de diamètre;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
DOME MARIUS 16;TH1365N5240W;1365N5240W;Formation répertoriée;Dôme;TH;Volcan;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Marius n° 16;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Astronome;Allemagne;allemand;Allemand;16;16 ème siècle;Gunzenhausen;1570;Ansbach;1624;Découvreur des 4 gros satellites de Jupiter indépendamment de Galilée et inventeur de leurs noms. 1er observateur occidental de la galaxie d'Andromède;-52,40870945;307,59;52 ° 25 '  Ouest;13,65057667;13 ° 39 '  Nord;Face visible;Nord - Ouest;Partie centrale de l'Océan des Tempêtes;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;Non décrit;IV-150-H2;9;5;5.5;3;4,5;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;NO du cratère Marius;Description ALPO : Petit. Allongé N/S. Pentes abruptes.;;;;Non décrit;3;Formation très intéressante;12;5 jours après le Premier Quartier;4 jours après le Dernier Quartier;50;Lunette 50 mm;Instruments 100 mm de diamètre;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
DOME MARIUS 17;TH1394N5097W;1394N5097W;Formation répertoriée;Dôme;TH;Bouclier volcanique;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Marius n° 17;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Astronome;Allemagne;allemand;Allemand;16;16 ème siècle;Gunzenhausen;1570;Ansbach;1624;Découvreur des 4 gros satellites de Jupiter indépendamment de Galilée et inventeur de leurs noms. 1er observateur occidental de la galaxie d'Andromède;-50,97752188;309,02;50 ° 59 '  Ouest;13,94556868;13 ° 57 '  Nord;Face visible;Nord - Ouest;Partie centrale de l'Océan des Tempêtes;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;Non décrit;IV-150-H2;5;10;3;6.1;2,5;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;N du cratère Marius;Description ALPO : Oblong. Hémisphérique. Pentes douces.;;;;Non décrit;3;Formation très intéressante;11;4 jours après le Premier Quartier;3 jours après le Dernier Quartier;50;Lunette 50 mm;Instruments 100 mm de diamètre;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
DOME MARIUS 18;TH1400N5213W;1400N5213W;Formation répertoriée;Dôme;TH;Bouclier volcanique;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Marius n° 18;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Astronome;Allemagne;allemand;Allemand;16;16 ème siècle;Gunzenhausen;1570;Ansbach;1624;Découvreur des 4 gros satellites de Jupiter indépendamment de Galilée et inventeur de leurs noms. 1er observateur occidental de la galaxie d'Andromède;-52,13562581;307,86;52 ° 8 '  Ouest;14,0046121;14 ° 0 '  Nord;Face visible;Nord - Ouest;Partie centrale de l'Océan des Tempêtes;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;Non décrit;IV-150-H2;7;4;4.3;2.4;3,5;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;NO du cratère Marius;Description ALPO : Profil bas. Allongé N/S. Hémisphérique. Pentes douces.;;;;Non décrit;3;Formation très intéressante;12;5 jours après le Premier Quartier;4 jours après le Dernier Quartier;50;Lunette 50 mm;Instruments 100 mm de diamètre;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
DOME MARIUS 19;TH1424N4995W;1424N4995W;Formation répertoriée;Dôme;TH;Bouclier volcanique;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Marius n° 19;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Astronome;Allemagne;allemand;Allemand;16;16 ème siècle;Gunzenhausen;1570;Ansbach;1624;Découvreur des 4 gros satellites de Jupiter indépendamment de Galilée et inventeur de leurs noms. 1er observateur occidental de la galaxie d'Andromède;-49,95369476;310,05;49 ° 57 '  Ouest;14,24093831;14 ° 14 '  Nord;Face visible;Nord - Ouest;Partie centrale de l'Océan des Tempêtes;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;Non décrit;IV-150-H2;3;3;1.8;1.8;1,5;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;N du cratère Marius;Description ALPO : Hémisphérique. Pentes douces.;;;;Non décrit;3;Formation très intéressante;11;4 jours après le Premier Quartier;3 jours après le Dernier Quartier;100;Instruments 100 mm de diamètre;Instruments 200 mm de diamètre;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
DOME MARIUS 2;TH984N5234W;984N5234W;Formation répertoriée;Dôme;TH;Bouclier volcanique;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Marius n° 2;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Astronome;Allemagne;allemand;Allemand;16;16 ème siècle;Gunzenhausen;1570;Ansbach;1624;Découvreur des 4 gros satellites de Jupiter indépendamment de Galilée et inventeur de leurs noms. 1er observateur occidental de la galaxie d'Andromède;-52,34094491;307,66;52 ° 20 '  Ouest;9,845966249;9 ° 51 '  Nord;Face visible;Nord - Ouest;Partie centrale de l'Océan des Tempêtes;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;Non décrit;IV-150-H2;3;6;1.8;3.6;1,5;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;SO du cratère Marius;Description ALPO : Sur une dorsale.;;;;Non décrit;3;Formation très intéressante;12;5 jours après le Premier Quartier;4 jours après le Dernier Quartier;100;Instruments 100 mm de diamètre;Instruments 200 mm de diamètre;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
DOME MARIUS 20;TH1424N5368W;1424N5368W;Formation répertoriée;Dôme;TH;Bouclier volcanique;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Marius n° 20;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Astronome;Allemagne;allemand;Allemand;16;16 ème siècle;Gunzenhausen;1570;Ansbach;1624;Découvreur des 4 gros satellites de Jupiter indépendamment de Galilée et inventeur de leurs noms. 1er observateur occidental de la galaxie d'Andromède;-53,68383068;306,32;53 ° 41 '  Ouest;14,24093831;14 ° 14 '  Nord;Face visible;Nord - Ouest;Partie centrale de l'Océan des Tempêtes;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;Non décrit;IV-150-H2;5;5;3;3;2,5;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;NO du cratère Marius;Description ALPO : Pentes douces.;;;;Non décrit;3;Formation très intéressante;12;5 jours après le Premier Quartier;4 jours après le Dernier Quartier;50;Lunette 50 mm;Instruments 100 mm de diamètre;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
DOME MARIUS 21;TH1465N5342W;1465N5342W;Formation répertoriée;Dôme;TH;Bouclier volcanique;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Marius n° 21;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Astronome;Allemagne;allemand;Allemand;16;16 ème siècle;Gunzenhausen;1570;Ansbach;1624;Découvreur des 4 gros satellites de Jupiter indépendamment de Galilée et inventeur de leurs noms. 1er observateur occidental de la galaxie d'Andromède;-53,42992498;306,57;53 ° 26 '  Ouest;14,65510802;14 ° 39 '  Nord;Face visible;Nord - Ouest;Partie centrale de l'Océan des Tempêtes;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;Non décrit;IV-150-H2;4;4;2.4;2.4;2;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;NO du cratère Marius;Description ALPO : Plat et circulaire. Pentes douces. A l'est d'une rainure étroite.;;;;Non décrit;3;Formation très intéressante;12;5 jours après le Premier Quartier;4 jours après le Dernier Quartier;100;Instruments 100 mm de diamètre;Instruments 200 mm de diamètre;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
DOME MARIUS 22;TH1495N5008W;1495N5008W;Formation répertoriée;Dôme;TH;Bouclier volcanique;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Marius n° 22;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Astronome;Allemagne;allemand;Allemand;16;16 ème siècle;Gunzenhausen;1570;Ansbach;1624;Découvreur des 4 gros satellites de Jupiter indépendamment de Galilée et inventeur de leurs noms. 1er observateur occidental de la galaxie d'Andromède;-50,08218667;309,92;50 ° 5 '  Ouest;14,95142225;14 ° 57 '  Nord;Face visible;Nord - Ouest;Partie centrale de l'Océan des Tempêtes;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;Non décrit;IV-150-H2;5;5;3;3;2,5;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;N du cratère Marius;Description ALPO : Allongé N/S. Pentes douces.;;;;Non décrit;3;Formation très intéressante;11;4 jours après le Premier Quartier;3 jours après le Dernier Quartier;50;Lunette 50 mm;Instruments 100 mm de diamètre;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
DOME MARIUS 23;TH1512N5320W;1512N5320W;Formation répertoriée;Dôme;TH;Bouclier volcanique;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Marius n° 23;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Astronome;Allemagne;allemand;Allemand;16;16 ème siècle;Gunzenhausen;1570;Ansbach;1624;Découvreur des 4 gros satellites de Jupiter indépendamment de Galilée et inventeur de leurs noms. 1er observateur occidental de la galaxie d'Andromède;-53,2022729;306,80;53 ° 12 '  Ouest;15,12940687;15 ° 8 '  Nord;Face visible;Nord - Ouest;Partie centrale de l'Océan des Tempêtes;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;Non décrit;IV-150-H2;5;5;3;3;2,5;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;NO du cratère Marius;Description ALPO : Pentes douces.;;;;Non décrit;3;Formation très intéressante;12;5 jours après le Premier Quartier;4 jours après le Dernier Quartier;50;Lunette 50 mm;Instruments 100 mm de diamètre;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
DOME MARIUS 3;TH1002N5078W;1002N5078W;Formation répertoriée;Dôme;TH;Bouclier volcanique;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Marius n° 3;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Astronome;Allemagne;allemand;Allemand;16;16 ème siècle;Gunzenhausen;1570;Ansbach;1624;Découvreur des 4 gros satellites de Jupiter indépendamment de Galilée et inventeur de leurs noms. 1er observateur occidental de la galaxie d'Andromède;-50,78865835;309,21;50 ° 47 '  Ouest;10,02046955;10 ° 1 '  Nord;Face visible;Nord - Ouest;Partie centrale de l'Océan des Tempêtes;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;Non décrit;IV-150-H2;6;6;3.6;3.6;3;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;S du cratère Marius;Description ALPO : Hémisphérique. Allongé N/S.;;;;Non décrit;3;Formation très intéressante;11;4 jours après le Premier Quartier;3 jours après le Dernier Quartier;50;Lunette 50 mm;Instruments 100 mm de diamètre;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
DOME MARIUS 4;TH1054N5026W;1054N5026W;Formation répertoriée;Dôme;TH;Bouclier volcanique;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Marius n° 4;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Astronome;Allemagne;allemand;Allemand;16;16 ème siècle;Gunzenhausen;1570;Ansbach;1624;Découvreur des 4 gros satellites de Jupiter indépendamment de Galilée et inventeur de leurs noms. 1er observateur occidental de la galaxie d'Andromède;-50,26291358;309,74;50 ° 16 '  Ouest;10,54455032;10 ° 33 '  Nord;Face visible;Nord - Ouest;Partie centrale de l'Océan des Tempêtes;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;Non décrit;IV-150-H2;8;8;4.9;4.9;4;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;SE du cratère Marius;Description ALPO : Hémisphérique. Pentes douces.;;;;Non décrit;3;Formation très intéressante;11;4 jours après le Premier Quartier;3 jours après le Dernier Quartier;50;Lunette 50 mm;Instruments 100 mm de diamètre;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
DOME MARIUS 5;TH1060N5138W;1060N5138W;Formation répertoriée;Dôme;TH;Bouclier volcanique;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Marius n° 5;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Astronome;Allemagne;allemand;Allemand;16;16 ème siècle;Gunzenhausen;1570;Ansbach;1624;Découvreur des 4 gros satellites de Jupiter indépendamment de Galilée et inventeur de leurs noms. 1er observateur occidental de la galaxie d'Andromède;-51,38346699;308,62;51 ° 23 '  Ouest;10,60283581;10 ° 36 '  Nord;Face visible;Nord - Ouest;Partie centrale de l'Océan des Tempêtes;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;Non décrit;IV-150-H2;6;6;3.6;3.6;3;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;SO du cratère Marius;Description ALPO : Profil bas. Pentes douces.;;;;Non décrit;3;Formation très intéressante;11;4 jours après le Premier Quartier;3 jours après le Dernier Quartier;50;Lunette 50 mm;Instruments 100 mm de diamètre;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
DOME MARIUS 6;TH1060N5232W;1060N5232W;Formation répertoriée;Dôme;TH;Bouclier volcanique;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Marius n° 6;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Astronome;Allemagne;allemand;Allemand;16;16 ème siècle;Gunzenhausen;1570;Ansbach;1624;Découvreur des 4 gros satellites de Jupiter indépendamment de Galilée et inventeur de leurs noms. 1er observateur occidental de la galaxie d'Andromède;-52,32723428;307,67;52 ° 20 '  Ouest;10,60283581;10 ° 36 '  Nord;Face visible;Nord - Ouest;Partie centrale de l'Océan des Tempêtes;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;Non décrit;IV-150-H2;6;6;3.6;3.6;3;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;SO du cratère Marius;Description ALPO : Profil bas. Grand cratère-puits sommital.;;;;Non décrit;3;Formation très intéressante;12;5 jours après le Premier Quartier;4 jours après le Dernier Quartier;50;Lunette 50 mm;Instruments 100 mm de diamètre;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
