NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;OESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
Egede 2;Domo;Sin determinar;Domo de Egede nº 2;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Misionero;Noruega;noruego;18;Siglo XVIII;Senjen;1686;Stubbekjobing;1758;Pastor luterano que vivió con la gente de Groenlandia.;1.015.713.398;10 º 9 '  Este;4.756.132.379;47 º 34 '  Norte;Norte - Este;Región Norte de Mare Serenitatis;13;Eudoxus;374;7f7 / 8g1;"351N 357N 154N 161N 167N	";;IV-110-H3 IV-104-H1 IV-103-H3 IV-110-H3;?;?;?;?;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;S del cráter Egede;Escudo volcánico;Volcanismo extrusivo;No descrito;3;Formación muy interesante;7;Cuarto Creciente;6 días después de la Luna Llena;999;Sin determinar;Sin determinar
Egede A 1;Domo;Sin determinar;Domo de Egede A nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Misionero;Noruega;noruego;18;Siglo XVIII;Senjen;1686;Stubbekjobing;1758;Pastor luterano que vivió con la gente de Groenlandia.;1.150.224.375;11 º 30 '  Este;5.227.906.148;52 º 17 '  Norte;Norte - Este;Región Norte de Mare Serenitatis;13;Eudoxus;374;7f7 / 8g1;"351N 357N 154N 161N 167N	";;IV-110-H3 IV-104-H1 IV-103-H3 IV-110-H3;?;?;?;?;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;NE del cráter Egede A;Escudo volcánico;Volcanismo extrusivo;Parte de una cordillera;3;Formación muy interesante;7;Cuarto Creciente;6 días después de la Luna Llena;999;Sin determinar;Sin determinar
Egede A 2;Domo;Sin determinar;Domo de Egede A nº 2;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Misionero;Noruega;noruego;18;Siglo XVIII;Senjen;1686;Stubbekjobing;1758;Pastor luterano que vivió con la gente de Groenlandia.;1.006.362.661;10 º 4 '  Este;50.986.713;50 º 59 '  Norte;Norte - Este;Región Norte de Mare Serenitatis;13;Eudoxus;374;7f7 / 8g1;"351N 357N 154N 161N 167N	";;IV-110-H3 IV-104-H1 IV-103-H3 IV-110-H3;6;6;3.6;3.6;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;S del cráter Egede A;Escudo volcánico;Volcanismo extrusivo;Brillante, domo en el patrón de rayos de Edge A;3;Formación muy interesante;7;Cuarto Creciente;6 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
Egede A 3;Domo;Sin determinar;Domo de Egede A nº 3;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Misionero;Noruega;noruego;18;Siglo XVIII;Senjen;1686;Stubbekjobing;1758;Pastor luterano que vivió con la gente de Groenlandia.;9.653.769.097;9 º 39 '  Este;4.990.699.201;49 º 54 '  Norte;Norte - Este;Región Norte de Mare Serenitatis;13;Eudoxus;374;7f7 / 8g1;"351N 357N 154N 161N 167N	";;IV-110-H3 IV-104-H1 IV-103-H3 IV-110-H3;7;7;4.3;4.3;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;NO del cráter Egede A;Escudo volcánico;Volcanismo extrusivo;En Mare Frigoris;3;Formación muy interesante;7;Cuarto Creciente;6 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
Egede B 1;Domo;Sin determinar;Domo de Egede B nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Misionero;Noruega;noruego;18;Siglo XVIII;Senjen;1686;Stubbekjobing;1758;Pastor luterano que vivió con la gente de Groenlandia.;8.645.800.465;8 º 39 '  Este;5.080.503.257;50 º 48 '  Norte;Norte - Este;Región Norte de Mare Serenitatis;13;Eudoxus;374;7f7 / 8g1;"351N 357N 154N 161N 167N	";;IV-110-H3 IV-104-H1 IV-103-H3 IV-110-H3;?;?;?;?;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;N del cráter Egede B;Escudo volcánico;Volcanismo extrusivo;En Mare Frigoris;3;Formación muy interesante;7;Cuarto Creciente;6 días después de la Luna Llena;999;Sin determinar;Sin determinar
Egede B 2;Domo;Sin determinar;Domo de Egede B nº 2;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Misionero;Noruega;noruego;18;Siglo XVIII;Senjen;1686;Stubbekjobing;1758;Pastor luterano que vivió con la gente de Groenlandia.;8.354.481.133;8 º 21 '  Este;5.071.445.689;50 º 43 '  Norte;Norte - Este;Región Norte de Mare Serenitatis;13;Eudoxus;374;7f7 / 8g1;"351N 357N 154N 161N 167N	";;IV-110-H3 IV-104-H1 IV-103-H3 IV-110-H3;?;?;?;?;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;O del cráter Egede B;Escudo volcánico;Volcanismo extrusivo;En Mare Frigoris;3;Formación muy interesante;7;Cuarto Creciente;6 días después de la Luna Llena;999;Sin determinar;Sin determinar
Egede B 3;Domo;Sin determinar;Domo de Egede B nº 3;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Misionero;Noruega;noruego;18;Siglo XVIII;Senjen;1686;Stubbekjobing;1758;Pastor luterano que vivió con la gente de Groenlandia.;8.349.465.188;8 º 21 '  Este;5.017.462.874;50 º 10 '  Norte;Norte - Este;Región Norte de Mare Serenitatis;13;Eudoxus;374;7f7 / 8g1;"351N 357N 154N 161N 167N	";;IV-110-H3 IV-104-H1 IV-103-H3 IV-110-H3;14;10;8.5;6.1;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;SO del cráter Egede B;Escudo volcánico;Volcanismo extrusivo;En Mare Frigoris;3;Formación muy interesante;7;Cuarto Creciente;6 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
Egede B 4;Domo;Sin determinar;Domo de Egede B nº 4;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Misionero;Noruega;noruego;18;Siglo XVIII;Senjen;1686;Stubbekjobing;1758;Pastor luterano que vivió con la gente de Groenlandia.;8.078.297.883;8 º 5 '  Este;5.017.462.874;50 º 10 '  Norte;Norte - Este;Región Norte de Mare Serenitatis;13;Eudoxus;374;7f7 / 8g1;"351N 357N 154N 161N 167N	";;IV-110-H3 IV-104-H1 IV-103-H3 IV-110-H3;8;8;4.9;4.9;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;SO del cráter Egede B;Escudo volcánico;Volcanismo extrusivo;Hemisférico, vertientes moderadas, en Mare Frigoris;3;Formación muy interesante;7;Cuarto Creciente;6 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
Egede B 5;Domo;Sin determinar;Domo de Egede B nº 5;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Misionero;Noruega;noruego;18;Siglo XVIII;Senjen;1686;Stubbekjobing;1758;Pastor luterano que vivió con la gente de Groenlandia.;757.008.127;7 º 34 '  Este;4.981.810.945;49 º 49 '  Norte;Norte - Este;Región Norte de Mare Serenitatis;13;Eudoxus;374;7f7 / 8g1;"351N 357N 154N 161N 167N	";;IV-110-H3 IV-104-H1 IV-103-H3 IV-110-H3;8;8;4.9;4.9;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;SO del cráter Egede B;Escudo volcánico;Volcanismo extrusivo;En Mare Frigoris;3;Formación muy interesante;7;Cuarto Creciente;6 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
Egede P 1;Domo;Sin determinar;Domo de Egede P nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Misionero;Noruega;noruego;18;Siglo XVIII;Senjen;1686;Stubbekjobing;1758;Pastor luterano que vivió con la gente de Groenlandia.;1.048.516.523;10 º 29 '  Este;4.790.206.471;47 º 54 '  Norte;Norte - Este;Región Norte de Mare Serenitatis;13;Eudoxus;374;7f7 / 8g1;"351N 357N 154N 161N 167N	";;IV-110-H3 IV-104-H1 IV-103-H3 IV-110-H3;?;?;?;?;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;O del cráter Egede P;Escudo volcánico;Volcanismo extrusivo;Demasiado pronunciado, probablemente no es un domo;3;Formación muy interesante;7;Cuarto Creciente;6 días después de la Luna Llena;999;Sin determinar;Sin determinar
Eratosthenes A 1;Domo;Sin determinar;Domo de Eratosthenes A nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Matemático y filósofo;Grecia;griego;-3;Siglo III AC;Cirene;276 AC;Alejandría;192 AC;Numerosos trabajos sobre filosofía y gramática. Tutor del hijo de Ptolomeo. Director de la Biblioteca de Alejandría. Primeras medidas de la circunferencia de la Tierra gracias a las sombras del Sol;-7.753.592.267;7 º 45 '  Oeste;1.842.119.343;18 º 25 '  Norte;Norte - Oeste;Parte Sur-Este de Mare Imbrium;21;Timocharis;292;9 e6;009C 018C 024C 179C 183C 191C;MM53;IV-114-H2;17;22;10.3;13.4;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;NE del cráter Eratosthenes A;Escudo volcánico;Volcanismo extrusivo;Domo marino de perfil bajo cerca de la línea de la cordillera separada de Montes Apenninus;3;Formación muy interesante;8;1 día después del Cuarto Creciente;Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
Eratosthenes B 1;Domo;Sin determinar;Domo de Eratosthenes B nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Matemático y filósofo;Grecia;griego;-3;Siglo III AC;Cirene;276 AC;Alejandría;192 AC;Numerosos trabajos sobre filosofía y gramática. Tutor del hijo de Ptolomeo. Director de la Biblioteca de Alejandría. Primeras medidas de la circunferencia de la Tierra gracias a las sombras del Sol;-8.572.134.191;8 º 34 '  Oeste;1.769.801.163;17 º 42 '  Norte;Norte - Oeste;Parte Sur-Este de Mare Imbrium;21;Timocharis;292;9 e6;009C 018C 024C 179C 183C 191C;MM53;IV-114-H2;15;25;9.1;15.2;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;SO del cráter Eratosthenes B;Volcán;Volcanismo extrusivo;No descrito;3;Formación muy interesante;8;1 día después del Cuarto Creciente;Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
Euclides 1;Domo;Sin determinar;Domo de Euclides nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Matemático;Grecia;griego;-4;Siglo IV AC;?;?;Alejandría;?;Organizador de la escuela de matemática de Alejandría. Autor del tratado de geometría 'Elementos' en 13 libros conteniendo varios postulados. Autor de muchos otros trabajos perdidos.;-2.893.352.315;28 º 56 '  Oeste;-7.180.755.781;7 º 11 '  Sur;Sur - Oeste;Parte Sureste de Oceanus Procellarum;41;Euclides;219;3e6 / 4e1;036C 040C 201C 205C;;IV-132-H3;8;8;4.9;4.9;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;NE del cráter Euclides;Escudo volcánico;Volcanismo extrusivo;No descrito;3;Formación muy interesante;10;3 días después del Cuarto Creciente;2 días después del Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
Eudoxus E 1;Domo;Sin determinar;Domo de Eudoxus E nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Grecia;griego;-4;Siglo IV AC;Cnide;408 AC;Cnide;355 AC;Inventor del año de 365 días y 1/4. Autor de la hipótesir de las esferas homocéntricas. Autor de la teoría de las proporciones y del método de agotamiento en matemáticas;2.171.822.194;21 º 43 '  Este;4.129.987.279;41 º 18 '  Norte;Norte - Este;Región Norte de Mare Serenitatis;13;Eudoxus;350;2 e8;343N 351N 143N 148N 154N 161N;MM71;IV-103-H2;5;7;3;4.3;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;SE del cráter Eudoxus E;Escudo volcánico;Volcanismo extrusivo;Domo de tierras montañosas;3;Formación muy interesante;6;6 días después de la Luna Nueva;5 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
Euler 1;Domo;Sin determinar;Domo de Euler nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Matemático;Suiza;suizo;18;Siglo XVIII;Basilea;1707;San Petersburgo;1783;Autor de 900 trabajos en diversas áreas tales como astronomía y matemáticas. Autor de un 'Tratado completo de mecánica' en 1736 y un trabajo 'Sobre la teoría de la Luna'.;-296.863.809;29 º 41 '  Oeste;2.732.259.814;27 º 19 '  Norte;Norte - Oeste;Parte Sur de Mare Imbrium;20;Pytheas;359;;029C 036N 040N 048N 201N 205N/C;;IV-133-H3;35;35;21.3;21.3;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;N del cráter Euler;Escudo volcánico;Volcanismo extrusivo;Perfil bajo, domo marino, Oeste de Rima La Hire II;3;Formación muy interesante;10;3 días después del Cuarto Creciente;2 días después del Cuarto Menguante;30;Binoculares de 10x;Refractor de 50 mm
Euler K 1;Domo;Sin determinar;Domo de Euler K nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Matemático;Suiza;suizo;18;Siglo XVIII;Basilea;1707;San Petersburgo;1783;Autor de 900 trabajos en diversas áreas tales como astronomía y matemáticas. Autor de un 'Tratado completo de mecánica' en 1736 y un trabajo 'Sobre la teoría de la Luna'.;-3.269.865.344;32 º 42 '  Oeste;2.110.019.602;21 º 6 '  Norte;Norte - Oeste;Parte Sur de Mare Imbrium;20;Pytheas;359;;029C 036N 040N 048N 201N 205N/C;;IV-133-H3;2;2;1.2;1.2;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;O del cráter Euler K;Escudo volcánico;Volcanismo extrusivo;Perfil bajo, domo marino complejo, múltiples cratercillos en la cumbre;3;Formación muy interesante;10;3 días después del Cuarto Creciente;2 días después del Cuarto Menguante;150;Refractor de 50 mm;Reflector de 300 mm
Euler P 1;Domo;Sin determinar;Domo de Euler P nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Matemático;Suiza;suizo;18;Siglo XVIII;Basilea;1707;San Petersburgo;1783;Autor de 900 trabajos en diversas áreas tales como astronomía y matemáticas. Autor de un 'Tratado completo de mecánica' en 1736 y un trabajo 'Sobre la teoría de la Luna'.;-3.050.097.431;30 º 30 '  Oeste;1.896.557.499;18 º 58 '  Norte;Norte - Oeste;Parte Sur de Mare Imbrium;20;Pytheas;359;;029C 036N 040N 048N 201N 205N/C;;IV-133-H3;5;6;3;3.6;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;SE de Euler P;Escudo volcánico;Volcanismo extrusivo;Perfil bajo, picudo;3;Formación muy interesante;10;3 días después del Cuarto Creciente;2 días después del Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
Flammarion 1;Domo;Sin determinar;Domo de Flammarion nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Francia;francés;19;Siglo IX;Montigny le Roi;1842;Juvisy sur Orge;1925;Talentoso populista. Autor de 'La Astronomía popular' en 1879. Creador de un observatorio en Juvisy en 1893 y de la Sociedad Astronómica de Francia en 1887. Trabajos sobre ciencias ocultas meteorología y climatología;-4.023.874.016;4 º 1 '  Oeste;-4.013.987.218;4 º 1 '  Sur;Sur - Oeste;Región del cráter Ptolomeo;44;Ptolemaeus;240;3b3;009C 179C 183C;;IV-108-H3;14;14;8.5;8.5;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;Dentro del cráter Flammarion;Escudo volcánico;Volcanismo extrusivo;Pequeño, domo parecido a un mar cercano a la base del muro austral;3;Formación muy interesante;8;1 día después del Cuarto Creciente;Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
Flammarion 10;Domo;Sin determinar;Domo de Flammarion nº 10;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Francia;francés;19;Siglo IX;Montigny le Roi;1842;Juvisy sur Orge;1925;Talentoso populista. Autor de 'La Astronomía popular' en 1879. Creador de un observatorio en Juvisy en 1893 y de la Sociedad Astronómica de Francia en 1887. Trabajos sobre ciencias ocultas meteorología y climatología;-3.846.513.498;3 º 51 '  Oeste;-2.865.983.983;2 º 52 '  Sur;Sur - Oeste;Región del cráter Ptolomeo;44;Ptolemaeus;240;3b3;009C 179C 183C;;IV-108-H3;?;?;?;?;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;Dentro del cráter Flammarion;Escudo volcánico;Volcanismo extrusivo;Pequeño, domo parecido a un mar cerca del centro de un cráter inundado;3;Formación muy interesante;8;1 día después del Cuarto Creciente;Cuarto Menguante;999;Sin determinar;Sin determinar
Flammarion 11;Domo;Sin determinar;Domo de Flammarion nº 11;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Francia;francés;19;Siglo IX;Montigny le Roi;1842;Juvisy sur Orge;1925;Talentoso populista. Autor de 'La Astronomía popular' en 1879. Creador de un observatorio en Juvisy en 1893 y de la Sociedad Astronómica de Francia en 1887. Trabajos sobre ciencias ocultas meteorología y climatología;-3.271.249.505;3 º 16 '  Oeste;-2.693.894.061;2 º 42 '  Sur;Sur - Oeste;Región del cráter Ptolomeo;44;Ptolemaeus;240;3b3;009C 179C 183C;;IV-108-H3;?;?;?;?;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;Dentro del cráter Flammarion;Escudo volcánico;Volcanismo extrusivo;Pequeño, domo parecido a un mar en el suelo de un cráter inundado;3;Formación muy interesante;8;1 día después del Cuarto Creciente;Cuarto Menguante;999;Sin determinar;Sin determinar
Flammarion 2;Domo;Sin determinar;Domo de Flammarion nº 2;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Francia;francés;19;Siglo IX;Montigny le Roi;1842;Juvisy sur Orge;1925;Talentoso populista. Autor de 'La Astronomía popular' en 1879. Creador de un observatorio en Juvisy en 1893 y de la Sociedad Astronómica de Francia en 1887. Trabajos sobre ciencias ocultas meteorología y climatología;-4.483.410.352;4 º 29 '  Oeste;-3.784.272.228;3 º 47 '  Sur;Sur - Oeste;Región del cráter Ptolomeo;44;Ptolemaeus;240;3b3;009C 179C 183C;;IV-108-H3;6;6;3.6;3.6;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;Dentro del cráter Flammarion;Escudo volcánico;Volcanismo extrusivo;Pequeño, domo parecido a un mar cercano a la base del muro austral;3;Formación muy interesante;8;1 día después del Cuarto Creciente;Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
Flammarion 3;Domo;Sin determinar;Domo de Flammarion nº 3;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Francia;francés;19;Siglo IX;Montigny le Roi;1842;Juvisy sur Orge;1925;Talentoso populista. Autor de 'La Astronomía popular' en 1879. Creador de un observatorio en Juvisy en 1893 y de la Sociedad Astronómica de Francia en 1887. Trabajos sobre ciencias ocultas meteorología y climatología;-3.446.028.688;3 º 27 '  Oeste;-3.439.812.768;3 º 26 '  Sur;Sur - Oeste;Región del cráter Ptolomeo;44;Ptolemaeus;240;3b3;009C 179C 183C;;IV-108-H3;8;8;4.9;4.9;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;Dentro del cráter Flammarion;Escudo volcánico;Volcanismo extrusivo;Domo hemisférico en el suelo de un cráter inundado;3;Formación muy interesante;8;1 día después del Cuarto Creciente;Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
Flammarion 4;Domo;Sin determinar;Domo de Flammarion nº 4;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Francia;francés;19;Siglo IX;Montigny le Roi;1842;Juvisy sur Orge;1925;Talentoso populista. Autor de 'La Astronomía popular' en 1879. Creador de un observatorio en Juvisy en 1893 y de la Sociedad Astronómica de Francia en 1887. Trabajos sobre ciencias ocultas meteorología y climatología;-4.424.132.719;4 º 25 '  Oeste;-3.439.812.768;3 º 26 '  Sur;Sur - Oeste;Región del cráter Ptolomeo;44;Ptolemaeus;240;3b3;009C 179C 183C;;IV-108-H3;9;9;5.5;5.5;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;Dentro del cráter Flammarion;Escudo volcánico;Volcanismo extrusivo;Pequeño, domo parecido a un mar, sureste del cráter Flammarion D;3;Formación muy interesante;8;1 día después del Cuarto Creciente;Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
Flammarion 5;Domo;Sin determinar;Domo de Flammarion nº 5;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Francia;francés;19;Siglo IX;Montigny le Roi;1842;Juvisy sur Orge;1925;Talentoso populista. Autor de 'La Astronomía popular' en 1879. Creador de un observatorio en Juvisy en 1893 y de la Sociedad Astronómica de Francia en 1887. Trabajos sobre ciencias ocultas meteorología y climatología;-3.790.443.798;3 º 47 '  Oeste;-3.267.630.486;3 º 16 '  Sur;Sur - Oeste;Región del cráter Ptolomeo;44;Ptolemaeus;240;3b3;009C 179C 183C;;IV-108-H3;?;?;?;?;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;Dentro del cráter Flammarion;Escudo volcánico;Volcanismo extrusivo;Pequeño, domo parecido a un mar cerca del centro de un cráter inundado;3;Formación muy interesante;8;1 día después del Cuarto Creciente;Cuarto Menguante;999;Sin determinar;Sin determinar
Flammarion 6;Domo;Sin determinar;Domo de Flammarion nº 6;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Francia;francés;19;Siglo IX;Montigny le Roi;1842;Juvisy sur Orge;1925;Talentoso populista. Autor de 'La Astronomía popular' en 1879. Creador de un observatorio en Juvisy en 1893 y de la Sociedad Astronómica de Francia en 1887. Trabajos sobre ciencias ocultas meteorología y climatología;-3.445.225.633;3 º 27 '  Oeste;-3.210.243.033;3 º 13 '  Sur;Sur - Oeste;Región del cráter Ptolomeo;44;Ptolemaeus;240;3b3;009C 179C 183C;;IV-108-H3;?;?;?;?;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;Dentro del cráter Flammarion;Escudo volcánico;Volcanismo extrusivo;Pequeño, domo parecido a un mar en el suelo de un cráter inundado;3;Formación muy interesante;8;1 día después del Cuarto Creciente;Cuarto Menguante;999;Sin determinar;Sin determinar
Flammarion 7;Domo;Sin determinar;Domo de Flammarion nº 7;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Francia;francés;19;Siglo IX;Montigny le Roi;1842;Juvisy sur Orge;1925;Talentoso populista. Autor de 'La Astronomía popular' en 1879. Creador de un observatorio en Juvisy en 1893 y de la Sociedad Astronómica de Francia en 1887. Trabajos sobre ciencias ocultas meteorología y climatología;-4.480.165.067;4 º 29 '  Oeste;-3.095.477.741;3 º 6 '  Sur;Sur - Oeste;Región del cráter Ptolomeo;44;Ptolemaeus;240;3b3;009C 179C 183C;;IV-108-H3;?;?;?;?;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;Dentro del cráter Flammarion;Escudo volcánico;Volcanismo extrusivo;Hemisférico, sur del cráter Flammarion D;3;Formación muy interesante;8;1 día después del Cuarto Creciente;Cuarto Menguante;999;Sin determinar;Sin determinar
Flammarion 8;Domo;Sin determinar;Domo de Flammarion nº 8;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Francia;francés;19;Siglo IX;Montigny le Roi;1842;Juvisy sur Orge;1925;Talentoso populista. Autor de 'La Astronomía popular' en 1879. Creador de un observatorio en Juvisy en 1893 y de la Sociedad Astronómica de Francia en 1887. Trabajos sobre ciencias ocultas meteorología y climatología;-430.728.755;4 º 18 '  Oeste;-3.038.099.785;3 º 2 '  Sur;Sur - Oeste;Región del cráter Ptolomeo;44;Ptolemaeus;240;3b3;009C 179C 183C;;IV-108-H3;9;9;5.5;5.5;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;Dentro del cráter Flammarion;Escudo volcánico;Volcanismo extrusivo;Hemisférico, base ligeramente ovalada, este del cráter Flammarion D;3;Formación muy interesante;8;1 día después del Cuarto Creciente;Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
Flammarion 9;Domo;Sin determinar;Domo de Flammarion nº 9;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Francia;francés;19;Siglo IX;Montigny le Roi;1842;Juvisy sur Orge;1925;Talentoso populista. Autor de 'La Astronomía popular' en 1879. Creador de un observatorio en Juvisy en 1893 y de la Sociedad Astronómica de Francia en 1887. Trabajos sobre ciencias ocultas meteorología y climatología;-3.501.776.393;3 º 30 '  Oeste;-2.923.352.964;2 º 55 '  Sur;Sur - Oeste;Región del cráter Ptolomeo;44;Ptolemaeus;240;3b3;009C 179C 183C;;IV-108-H3;?;?;?;?;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;Dentro del cráter Flammarion;Escudo volcánico;Volcanismo extrusivo;Pequeño, domo parecido a un mar en el suelo de un cráter inundado;3;Formación muy interesante;8;1 día después del Cuarto Creciente;Cuarto Menguante;999;Sin determinar;Sin determinar
Fontenelle 1;Domo;Sin determinar;Domo de Fontenelle nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Escritor;Francia;francés;18;Siglo XVIII;Rouen;1657;París;1757;Autor del 'Discurso sobre la pluralidad de los mundos' en 1686. Autor de trabajos de divulgación. Miembro de la Academia Franceda en 1691 y de la Academia de las Ciencias en 1699.;-1.721.594.919;17 º 13 '  Oeste;5.999.708.907;59 º 60 '  Norte;Norte - Oeste;Limbo Norte de la Luna;3;Plato;400;11f5;018N 024N 029N 036N 161N 179N 183N 191N;;IV-140-H1 IV-128-H2 IV-128-H1;16;32;9.7;19.4;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;NE del cráter Fontenelle;Escudo volcánico;Volcanismo extrusivo;En Mare Frigoris;3;Formación muy interesante;9;2 días después del Cuarto Creciente;1 día después del Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
Fontenelle B 1;Domo;Sin determinar;Domo de Fontenelle B nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Escritor;Francia;francés;18;Siglo XVIII;Rouen;1657;París;1757;Autor del 'Discurso sobre la pluralidad de los mundos' en 1686. Autor de trabajos de divulgación. Miembro de la Academia Franceda en 1691 y de la Academia de las Ciencias en 1699.;-2.082.915.152;20 º 50 '  Oeste;5.864.943.407;58 º 39 '  Norte;Norte - Oeste;Limbo Norte de la Luna;3;Plato;400;11f5;018N 024N 029N 036N 161N 179N 183N 191N;;IV-140-H1 IV-128-H2 IV-128-H1;10;10;6.1;6.1;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;S del cráter Fontenelle B;Escudo volcánico;Volcanismo extrusivo;Hemisférico, en Mare Frigoris;3;Formación muy interesante;9;2 días después del Cuarto Creciente;1 día después del Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
