NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
CASSINI C;Cratere;Eratosteniano (da -3.2 miliardi di anni a -1.1 miliardi di anni) ?;Cassini C - Gian Domenico Cassini;(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Francia;francese;17;17° secolo;Perinaldo;1625;Parigi;1712;Fondatore e direttore dell'Osservatorio di Parigi nel 1672. Membro dell'Accademia delle Scienze.  Scopritore di 4 satelliti di Saturno e della divisione principale dei suoi anelli.;7.6;7.6° Est;41.7;41.7° Nord;Nord-Est;Regione a Nord del Mare Serenitatis;13;Eudoxus ?;354;;;;;13.7;13.7;8;8;2420;7300;0.1766;A__________A;Formazione circolare isolata a forma di conca.;Versanti scoscesi.;Pareti abbastanza alte.;Fondo arrotondato.;1;Formazione di scarso interesse;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
CASSINI E;Piccolo cratere;;Gian Domenico Cassini;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Francia;francese;17;17° secolo;Perinaldo;1625;Parigi;1712;Fondatore e direttore dell'Osservatorio di Parigi nel 1672. Membro dell'Accademia delle Scienze.  Scopritore di 4 satelliti di Saturno e della divisione principale dei suoi anelli.;7.5;07.50 ° Est;42.9;42.90 ° Nord;Nord-Est;Regione a Nord del cratere Archimedes;12;Aristillus ?;??;Formazione non indicata;Formazione non indicata;;;10;10;6;6;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;7;al Primo Quarto;6 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
CASSINI F;Piccolo cratere;;Gian Domenico Cassini;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Francia;francese;17;17° secolo;Perinaldo;1625;Parigi;1712;Fondatore e direttore dell'Osservatorio di Parigi nel 1672. Membro dell'Accademia delle Scienze.  Scopritore di 4 satelliti di Saturno e della divisione principale dei suoi anelli.;7.41;07.41 ° Est;40.83;40.83 ° Nord;Nord-Est;Regione a Nord del cratere Archimedes;12;Aristillus ?;??;Formazione non indicata;Formazione non indicata;;;7;7;4;4;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;7;al Primo Quarto;6 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
CASSINI G;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Gian Domenico Cassini;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Francia;francese;17;17° secolo;Perinaldo;1625;Parigi;1712;Fondatore e direttore dell'Osservatorio di Parigi nel 1672. Membro dell'Accademia delle Scienze.  Scopritore di 4 satelliti di Saturno e della divisione principale dei suoi anelli.;5.63;05.63 ° Est;44.61;44.61 ° Nord;Nord-Est;Regione a Nord del cratere Archimedes;12;Aristillus ?;??;Formazione non indicata;Formazione non indicata;;;5;5;3;3;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;7;al Primo Quarto;6 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
CASSINI K;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Gian Domenico Cassini;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Francia;francese;17;17° secolo;Perinaldo;1625;Parigi;1712;Fondatore e direttore dell'Osservatorio di Parigi nel 1672. Membro dell'Accademia delle Scienze.  Scopritore di 4 satelliti di Saturno e della divisione principale dei suoi anelli.;4.23;04.23 ° Est;45.08;45.08 ° Nord;Nord-Est;Regione a Nord del cratere Archimedes;12;Aristillus ?;??;Formazione non indicata;Formazione non indicata;;;4;4;2;2;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;7;al Primo Quarto;6 giorni dopo la Luna Piena;100;Riflettore da 100 mm;Riflettore da 200 mm;Faccia visibile
CASSINI L;Piccolo cratere;;Gian Domenico Cassini;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Francia;francese;17;17° secolo;Perinaldo;1625;Parigi;1712;Fondatore e direttore dell'Osservatorio di Parigi nel 1672. Membro dell'Accademia delle Scienze.  Scopritore di 4 satelliti di Saturno e della divisione principale dei suoi anelli.;4.58;04.58 ° Est;43.92;43.92 ° Nord;Nord-Est;Regione a Nord del cratere Archimedes;12;Aristillus ?;??;Formazione non indicata;Formazione non indicata;;;6;6;4;4;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;7;al Primo Quarto;6 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
CASSINI M;Piccolo cratere;;Gian Domenico Cassini;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Francia;francese;17;17° secolo;Perinaldo;1625;Parigi;1712;Fondatore e direttore dell'Osservatorio di Parigi nel 1672. Membro dell'Accademia delle Scienze.  Scopritore di 4 satelliti di Saturno e della divisione principale dei suoi anelli.;3.92;03.92 ° Est;41.33;41.33 ° Nord;Nord-Est;Regione a Nord del cratere Archimedes;12;Aristillus ?;??;Formazione non indicata;Formazione non indicata;;;8;8;5;5;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;7;al Primo Quarto;6 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
CASSINI P;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Gian Domenico Cassini;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Francia;francese;17;17° secolo;Perinaldo;1625;Parigi;1712;Fondatore e direttore dell'Osservatorio di Parigi nel 1672. Membro dell'Accademia delle Scienze.  Scopritore di 4 satelliti di Saturno e della divisione principale dei suoi anelli.;1.98;01.98 ° Est;44.68;44.68 ° Nord;Nord-Est;Regione a Nord del cratere Archimedes;12;Aristillus ?;??;Formazione non indicata;Formazione non indicata;;;4;4;2;2;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;7;al Primo Quarto;6 giorni dopo la Luna Piena;100;Riflettore da 100 mm;Riflettore da 200 mm;Faccia visibile
CASSINI W;Piccolo cratere;;Gian Domenico Cassini;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Francia;francese;17;17° secolo;Perinaldo;1625;Parigi;1712;Fondatore e direttore dell'Osservatorio di Parigi nel 1672. Membro dell'Accademia delle Scienze.  Scopritore di 4 satelliti di Saturno e della divisione principale dei suoi anelli.;4.43;04.43 ° Est;42.25;42.25 ° Nord;Nord-Est;Regione a Nord del cratere Archimedes;12;Aristillus ?;??;Formazione non indicata;Formazione non indicata;;;6;6;4;4;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;7;al Primo Quarto;6 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
CASSINI X;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Gian Domenico Cassini;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Francia;francese;17;17° secolo;Perinaldo;1625;Parigi;1712;Fondatore e direttore dell'Osservatorio di Parigi nel 1672. Membro dell'Accademia delle Scienze.  Scopritore di 4 satelliti di Saturno e della divisione principale dei suoi anelli.;8.23;08.23 ° Est;43.95;43.95 ° Nord;Nord-Est;Regione a Nord del cratere Archimedes;12;Aristillus ?;??;Formazione non indicata;Formazione non indicata;;;4;4;2;2;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;7;al Primo Quarto;6 giorni dopo la Luna Piena;100;Riflettore da 100 mm;Riflettore da 200 mm;Faccia visibile
CASSINI Y;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Gian Domenico Cassini;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Francia;francese;17;17° secolo;Perinaldo;1625;Parigi;1712;Fondatore e direttore dell'Osservatorio di Parigi nel 1672. Membro dell'Accademia delle Scienze.  Scopritore di 4 satelliti di Saturno e della divisione principale dei suoi anelli.;2.2;02.20 ° Est;41.9;41.90 ° Nord;Nord-Est;Regione a Nord del cratere Archimedes;12;Aristillus ?;??;Formazione non indicata;Formazione non indicata;;;3;3;2;2;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;7;al Primo Quarto;6 giorni dopo la Luna Piena;100;Riflettore da 100 mm;Riflettore da 200 mm;Faccia visibile
CASSINI Z;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Gian Domenico Cassini;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Francia;francese;17;17° secolo;Perinaldo;1625;Parigi;1712;Fondatore e direttore dell'Osservatorio di Parigi nel 1672. Membro dell'Accademia delle Scienze.  Scopritore di 4 satelliti di Saturno e della divisione principale dei suoi anelli.;2.52;02.52 ° Est;43.34;43.34 ° Nord;Nord-Est;Regione a Nord del cratere Archimedes;12;Aristillus ?;??;Formazione non indicata;Formazione non indicata;;;4;4;2;2;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;7;al Primo Quarto;6 giorni dopo la Luna Piena;100;Riflettore da 100 mm;Riflettore da 200 mm;Faccia visibile
CATALAN A;Cratere;;Miguel A. Catalàn;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Fisico;Spagna;spagnolo;20;20° secolo;?;1894;?;1957;Specialista di spettroscopia.;-89.2;89.2 ° Ovest;-45.7;45.7 ° Sud;Sud-Ovest;Bordo Sud-Occidentale della Luna;61;Piazzi ?;??;Formazione non indicata;Formazione non indicata;;;21;21;12;12;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;14;durante la Luna Piena;6 giorni dopo l'Ultimo Quarto;30;Binocolo 10x;Rifrattore da 50 mm;Zona delle librazioni della faccia visibile
CATALAN B;Cratere;;Miguel A. Catalàn;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Fisico;Spagna;spagnolo;20;20° secolo;?;1894;?;1957;Specialista di spettroscopia.;-88.4;88.4 ° Ovest;-45.6;45.6 ° Sud;Sud-Ovest;Bordo Sud-Occidentale della Luna;61;Piazzi ?;??;Formazione non indicata;Formazione non indicata;;;14;14;8;8;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;14;durante la Luna Piena;6 giorni dopo l'Ultimo Quarto;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Zona delle librazioni della faccia visibile
CATHARINA A;Cratere;;Santa Caterina di Alessandria;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Santa cristiana;Grecia;greca;3;3° secolo d.C.;?;?;Alessandria ?;307;Martire cristiana.  Patrona dei filosofi.  Decapitata per ordine dell'imperatore Massenzio.;22.3;22.30 ° Est;-20.2;20.2 ° Sud;Sud-Est;Regione del cratere Catharina;57;Catharina ?;??;Formazione non indicata;Formazione non indicata;;;14;14;8;8;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm
CATHARINA B;Cratere;;Santa Caterina di Alessandria;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Santa cristiana;Grecia;greca;3;3° secolo d.C.;?;?;Alessandria ?;307;Martire cristiana.  Patrona dei filosofi.  Decapitata per ordine dell'imperatore Massenzio.;24.3;24.30 ° Est;-17;17 ° Sud;Sud-Est;Regione del cratere Catharina;57;Catharina ?;??;Formazione non indicata;Formazione non indicata;;;24;24;14;14;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm
CATHARINA C;Cratere;;Santa Caterina di Alessandria;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Santa cristiana;Grecia;greca;3;3° secolo d.C.;?;?;Alessandria ?;307;Martire cristiana.  Patrona dei filosofi.  Decapitata per ordine dell'imperatore Massenzio.;24.4;24.40 ° Est;-20.3;20.3 ° Sud;Sud-Est;Regione del cratere Catharina;57;Catharina ?;??;Formazione non indicata;Formazione non indicata;;;28;28;16;16;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm
CATHARINA D;Piccolo cratere;;Santa Caterina di Alessandria;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Santa cristiana;Grecia;greca;3;3° secolo d.C.;?;?;Alessandria ?;307;Martire cristiana.  Patrona dei filosofi.  Decapitata per ordine dell'imperatore Massenzio.;21.4;21.40 ° Est;-16.8;16.8 ° Sud;Sud-Est;Regione del cratere Catharina;57;Catharina ?;??;Formazione non indicata;Formazione non indicata;;;9;9;5;5;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm
CATHARINA E;Piccolo cratere;;Santa Caterina di Alessandria;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Santa cristiana;Grecia;greca;3;3° secolo d.C.;?;?;Alessandria ?;307;Martire cristiana.  Patrona dei filosofi.  Decapitata per ordine dell'imperatore Massenzio.;21.3;21.30 ° Est;-17.1;17.1 ° Sud;Sud-Est;Regione del cratere Catharina;57;Catharina ?;??;Formazione non indicata;Formazione non indicata;;;7;7;4;4;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm
CATHARINA F;Piccolo cratere;;Santa Caterina di Alessandria;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Santa cristiana;Grecia;greca;3;3° secolo d.C.;?;?;Alessandria ?;307;Martire cristiana.  Patrona dei filosofi.  Decapitata per ordine dell'imperatore Massenzio.;23.1;23.10 ° Est;-19.5;19.5 ° Sud;Sud-Est;Regione del cratere Catharina;57;Catharina ?;??;Formazione non indicata;Formazione non indicata;;;7;7;4;4;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm
CATHARINA G;Cratere;;Santa Caterina di Alessandria;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Santa cristiana;Grecia;greca;3;3° secolo d.C.;?;?;Alessandria ?;307;Martire cristiana.  Patrona dei filosofi.  Decapitata per ordine dell'imperatore Massenzio.;24.9;24.90 ° Est;-17.4;17.4 ° Sud;Sud-Est;Regione del cratere Catharina;57;Catharina ?;??;Formazione non indicata;Formazione non indicata;;;17;17;10;10;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm
CATHARINA H;Piccolo cratere;;Santa Caterina di Alessandria;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Santa cristiana;Grecia;greca;3;3° secolo d.C.;?;?;Alessandria ?;307;Martire cristiana.  Patrona dei filosofi.  Decapitata per ordine dell'imperatore Massenzio.;25.4;25.40 ° Est;-19.2;19.2 ° Sud;Sud-Est;Regione del cratere Catharina;57;Catharina ?;??;Formazione non indicata;Formazione non indicata;;;6;6;4;4;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm
CATHARINA J;Piccolo cratere;;Santa Caterina di Alessandria;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Santa cristiana;Grecia;greca;3;3° secolo d.C.;?;?;Alessandria ?;307;Martire cristiana.  Patrona dei filosofi.  Decapitata per ordine dell'imperatore Massenzio.;22.2;22.20 ° Est;-19.4;19.4 ° Sud;Sud-Est;Regione del cratere Catharina;57;Catharina ?;??;Formazione non indicata;Formazione non indicata;;;6;6;4;4;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm
CATHARINA K;Piccolo cratere;;Santa Caterina di Alessandria;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Santa cristiana;Grecia;greca;3;3° secolo d.C.;?;?;Alessandria ?;307;Martire cristiana.  Patrona dei filosofi.  Decapitata per ordine dell'imperatore Massenzio.;23.9;23.90 ° Est;-20;20 ° Sud;Sud-Est;Regione del cratere Catharina;57;Catharina ?;??;Formazione non indicata;Formazione non indicata;;;7;7;4;4;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm
CATHARINA L;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Santa Caterina di Alessandria;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Santa cristiana;Grecia;greca;3;3° secolo d.C.;?;?;Alessandria ?;307;Martire cristiana.  Patrona dei filosofi.  Decapitata per ordine dell'imperatore Massenzio.;24.3;24.30 ° Est;-21;21 ° Sud;Sud-Est;Regione del cratere Catharina;57;Catharina ?;??;Formazione non indicata;Formazione non indicata;;;5;5;3;3;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm
CATHARINA M;Piccolo cratere;;Santa Caterina di Alessandria;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Santa cristiana;Grecia;greca;3;3° secolo d.C.;?;?;Alessandria ?;307;Martire cristiana.  Patrona dei filosofi.  Decapitata per ordine dell'imperatore Massenzio.;20.7;20.70 ° Est;-19.2;19.2 ° Sud;Sud-Est;Regione del cratere Catharina;57;Catharina ?;??;Formazione non indicata;Formazione non indicata;;;6;6;4;4;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm
CATHARINA P;Cratere;;Santa Caterina di Alessandria;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Santa cristiana;Grecia;greca;3;3° secolo d.C.;?;?;Alessandria ?;307;Martire cristiana.  Patrona dei filosofi.  Decapitata per ordine dell'imperatore Massenzio.;23.3;23.30 ° Est;-17.2;17.2 ° Sud;Sud-Est;Regione del cratere Catharina;57;Catharina ?;??;Formazione non indicata;Formazione non indicata;;;46;46;27;27;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm
CATHARINA S;Cratere;;Santa Caterina di Alessandria;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Santa cristiana;Grecia;greca;3;3° secolo d.C.;?;?;Alessandria ?;307;Martire cristiana.  Patrona dei filosofi.  Decapitata per ordine dell'imperatore Massenzio.;23.3;23.30 ° Est;-18.8;18.8 ° Sud;Sud-Est;Regione del cratere Catharina;57;Catharina ?;??;Formazione non indicata;Formazione non indicata;;;16;16;9;9;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm
CAUCHY A;Piccolo cratere;;Augustin Louis Cauchy;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Matematico;Francia;francese;19;19° secolo;Parigi;1789;Sceaux;1857;Autore della teoria delle funzioni di una variabile complessa.  Lavori sullo sviluppo in serie di funzioni.  Membro dell'Accademia delle Scienze nel 1816 e del 'Bureau des Longitudes' nel 1839.;37.9;37.90 ° Est;12.1;12.10 ° Nord;Nord-Est;Parte centrale del Mare Tranquillitatis;36;Cauchy ?;??;Formazione non indicata;Formazione non indicata;;;8;8;5;5;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
CAUCHY B;Piccolo cratere;;Augustin Louis Cauchy;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Matematico;Francia;francese;19;19° secolo;Parigi;1789;Sceaux;1857;Autore della teoria delle funzioni di una variabile complessa.  Lavori sullo sviluppo in serie di funzioni.  Membro dell'Accademia delle Scienze nel 1816 e del 'Bureau des Longitudes' nel 1839.;35.8;35.80 ° Est;9.8;09.80 ° Nord;Nord-Est;Parte centrale del Mare Tranquillitatis;36;Cauchy ?;??;Formazione non indicata;Formazione non indicata;;;6;6;4;4;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
CAUCHY C;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Augustin Louis Cauchy;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Matematico;Francia;francese;19;19° secolo;Parigi;1789;Sceaux;1857;Autore della teoria delle funzioni di una variabile complessa.  Lavori sullo sviluppo in serie di funzioni.  Membro dell'Accademia delle Scienze nel 1816 e del 'Bureau des Longitudes' nel 1839.;38.9;38.90 ° Est;8.2;08.20 ° Nord;Nord-Est;Parte centrale del Mare Tranquillitatis;36;Cauchy ?;??;Formazione non indicata;Formazione non indicata;;;4;4;2;2;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;100;Riflettore da 100 mm;Riflettore da 200 mm;Faccia visibile
