NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU;
DESARGUES;Cratere;Pre-Nectariano (da -4.55 miliardi di anni a -3.92 miliardi di anni) ?;Girard Desargues;Arthur / Whitaker (1963);Nome non assegnato;Nome non assegnato;Nome non assegnato;Matematico e ingegnere;Francia;francese;17;17° secolo;Lione;1593;Lione;1662;Unificazione della teoria delle coniche.  Specialista di geometria e di prospettiva.;-73.3;73.3° Ovest;70.2;70.2° Nord;Nord-Ovest;Bordo Nord-Nord-Ovest della Luna;2;Pythagoras;407;6f8;075N 080N Q2N 237N 247N;;IV-190-H2 IV-176-H2 IV-089-H2;88;88;52;52;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare situata nella zona delle librazioni.;Versanti abbastanza scoscesi su cui si trovano Desargues B e E a Nord-Est e Desargues A a Nord-Ovest.;Pareti poco elevate sormontate da Desargues M a Sud.;Esteso fondo piatto.;2;Formazione abbastanza interessante;13;6 giorni dopo il Primo Quarto;5 giorni dopo l'Ultimo Quarto;30;Binocolo 10x;Rifrattore da 50 mm;
DESCARTES;Cratere;Nectariano (da -3.92 miliardi di anni a -3.85 miliardi di anni);René Descartes;Mädler (1837);Nome non assegnato;Nome non assegnato;Nome non assegnato;Filosofo e matematico;Francia;francese;17;17° secolo;L'Aia;1596;Stoccolma;1650;Iniziatore della filosofia occidentale.  Autore del 'Discorso sul metodo' nel 1637 e di molte altre opere come la 'Diottrica', le 'Meteore' e la 'Geometria'.;15.7;15.7° Est;-11.7;11.7° Sud;Sud-Est;Regione ad Est del cratere Ptolemaeus;45;Andel;202;13c5;351C 154C 161C/S;ST04/02  MM115;;49;49;29;29;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare molto danneggiata.;Versanti scoscesi su cui si trovano Descartes E a Nord e Descartes C a Nord-Est.;Pareti abbastanza alte e terrazzate, composte da diversi anelli concentrici, collassate a Nord e sormontate da Descartes A a Sud-Ovest.;Fondo poco esteso e molto tormentato. Linea di creste e fessurazioni.;3;Formazione molto interessante;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;
DESEILLIGNY;Piccolo cratere;Eratosteniano (da -3.2 miliardi di anni a -1.1 miliardi di anni) ?;Jules Deseilligny;Lamech (1956);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Francia;francese;19;19° secolo;?;1868;?;1918;Selenografo.  Numerose osservazioni della Luna.;20.6;20.6° Est;21.1;21.1° Nord;Nord-Est;Parte Sud-Orientale del Mare Serenitatis;24;Bessel;316;1c5 / 3h6 / 4h1;343N 154C;;IV-090-H3 IV-085-H3;7;7;4;4;1190;3600;0.1803;A__________A;Formazione circolare isolata a forma di conca, situata all'estremità del Dorsum Azara.;Versanti poco scoscesi.;Pareti abbastanza alte.;Fondo arrotondato.;3;Formazione molto interessante;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;
DESLANDRES;Circo;Pre-Nectariano Tipico (da -4.55 miliardi di anni a -3.92 miliardi di anni);Henri Deslandres;Antoniadi (1942);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Francia;francese;20;20° secolo;Parigi;1853;Parigi;1948;Inventore dello spettroeliografo.  Specialista del Sole. Direttore dell'Osservatorio di Meudon nel 1906.;-5.2;5.2° Ovest;-32.5;32.5° Sud;Sud-Ovest;Regione Orientale del cratere Tycho;65;Walter;126;9b1 / 10c7 / 13h1 / 14g7;009S 018S 174S 179S 183S;ST10/00  MM130;IV-112-H3 IV-113-H1;241;241;142;142;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Complessa formazione circolare.;Versanti abbastanza scoscesi segnati da alcuni crateri, tra cui Walter ad Est Lexell, a Sud Ball a Sud-Ovest, e Hell ad Est.;Pareti molto danneggiate.;Fondo piatto disseminato di molti crateri, tra cui una catena orientata da Sud a Nord nella parte a Nord-Est. Collinette e linee di creste. Solchi e piccoli crateri.;3;Formazione molto interessante;7;al Primo Quarto;6 giorni dopo la Luna Piena;5;Occhio nudo;Binocolo 10x;
DIONYSIUS;Cratere;Copernicano (da -1.1 miliardi di anni ad oggi);Dionisio;(??);Gutschovii;Mons Horminius;Ariadaeus;Astronomo;Grecia;greco;1;1° secolo d.C.;?;9;?;120?;Osservatore (secondo Riccioli) dell'eclisse avvenuta durante la crocifissione di Gesù Cristo.;17.3;17.3° Est;2.8;2.8° Nord;Nord-Est;Parte Orientale del Mare Tranquillitatis;35;Arago;276;1d1 / 13c8;343C 154C 161C;ST10/01  MM86;IV-090-H1;19;19;11;11;2700;8200;0.1534;A____________A;Brillante e isolata formazione circolare. Raggi.;Versanti abbastanza scoscesi su cui si trovano Rimae Ritter a Nord-Est.;Alte pareti.;Fondo piatto e poco esteso.;2;Formazione abbastanza interessante;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;
DIOPHANTUS;Cratere;Eratosteniano (da -3.2 miliardi di anni a -1.1 miliardi di anni);Diofante;Mädler (1837);Tirelli;Nome non assegnato;Nome non assegnato;Matematico;Grecia;greco;3;3° secolo d.C.;Alessandria;325;?;410;Poco conosciuto.  Raccolta di problemi matematici.  Opere sulle equazioni di primo e di secondo grado.;-34.3;34.3° Ovest;27.6;27.6° Nord;Nord-Ovest;Regione tra Oceanus Procellarum e Mare Imbrium;19;Brayley;359;5g8 / 6g1 / 7a8 / 8b2;036N 040N 048N 201N 205N/C 213N;;IV-139-H1 IV-138-H3;19;19;11;11;2970;9000;0.1605;A____________A;Formazione circolare.;Versanti abbastanza scoscesi su cui si trova il piccolo cratere Diophantus C a Sud-Ovest.;Pareti abbastanza alte.;Fondo piatto e poco esteso.;2;Formazione abbastanza interessante;10;3 giorni dopo il Primo Quarto;2 giorni dopo l'Ultimo Quarto;50;Rifrattore da 50 mm;Rifrattore da 100 mm;
DOLLOND;Cratere;Imbriano (da -3.85 miliardi di anni a -3.2 miliardi di anni) ?;John Dollond;Lohrmann (1924);Nome non assegnato;Nome non assegnato;Nome non assegnato;Ottico;Inghilterra;inglese;18;18° secolo;Spitalfields;1706;Spitalfields;1761;Inventore dell'obiettivo acromatico con due lenti nel 1758, come pure di oculari con 4 o 5 lenti. Membro della 'Royal Society'.;14.4;14.4° Est;-10.4;10.4° Sud;Sud-Est;Regione ad Est del cratere Ptolemaeus;45;Andel;202;13c5;351C 154C 161C;;IV-089-H2;12;12;7;7;1580;4800;0.1423;A_____________A;Brillante formazione circolare a forma di conca situata in una regione montuosa.;Versanti scoscesi.;Pareti abbastanza alte.;Fondo arrotondato.;2;Formazione abbastanza interessante;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;
DOME KIES PI;Domo;Imbriano (da -3.85 miliardi di anni a -3.2 miliardi di anni) ?;Domo di Kies Pi - Johan Kies;(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Matematico e astronomo;Germania;tedesco;18;18° secolo;?;1713;?;1781;??;-24.2;24.2° Ovest;-26.9;26.9° Sud;Sud-Ovest;Parte Occidentale del Mare Nubium;53;Bullialdus;166;;201S;MM145;;10;10;6;6;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Domo vulcanico situato sul versante Sud-Ovest di Kies.;Versanti poco scoscesi.;Sulla sommità vi è un cratere di 2 km di diametro.;;4;Formazione eccezionale;9;2 giorni dopo il Primo Quarto;1 giorno dopo l'Ultimo Quarto;50;Rifrattore da 50 mm;Rifrattore da 100 mm;
DOME LANSBERG D;Domo;Imbriano (da -3.85 miliardi di anni a -3.2 miliardi di anni) ?;Domo di Lansberg D - Philippe van Lansberge;(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Medico e astronomo;Belgio;belga;16;16° secolo;?;1561;?;1632;Autore di trattati sullo gnomone e sull'astrolabio.;-29.7;29.7° Ovest;-3.4;3.4° Sud;Sud-Ovest;Parte Sud-Orientale dell'Oceanus Procellarum;41;Euclides;219;;;;;15;15;9;9;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;3;Formazione molto interessante;9;2 giorni dopo il Primo Quarto;1 giorno dopo l'Ultimo Quarto;50;Rifrattore da 50 mm;Rifrattore da 100 mm;
DOME MAIRAN T;Domo;Imbriano (da -3.85 miliardi di anni a -3.2 miliardi di anni) ?;Mairan T - Jean-Jacques Dortous de Mairan;(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Francia;francese;18;18° secolo;Béziers;1678;Parigi;1771;Lavori sul pendolo e sui movimenti Terra-Luna.  Autore del 'Trattato storico e fisico delle aurore boreali' nel 1733. Segretario dell'Accademia francese della Scienze nel 1740.;-48.2;48.2° Ovest;41.9;41.9° Nord;Nord-Ovest;Parte Settentrionale dell'Oceanus Procellarum;9;Mairan;360;;;;;10;10;6;6;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Piccolo domo isolato con un cratere di 3 Km di diametro sulla sommità.;;;;4;Formazione eccezionale;11;4 giorni dopo il Primo Quarto;3 giorni dopo l'Ultimo Quarto;50;Rifrattore da 50 mm;Rifrattore da 100 mm;
DOME MILICHIUS;Domo;Imbriano (da -3.85 miliardi di anni a -3.2 miliardi di anni) ?;Milichius Pi - Jacob Milich;(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Medico, filosofo e matematico;Germania;tedesco;16;16° secolo;?;1501;?;1559;??;-31.2;31.2° Ovest;10.2;10.2° Nord;Nord-Ovest;Parte Orientale dell'Oceanus Procellarum;30;Kepler;254;;;ST07/03;;10;10;6;6;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Domo vulcanico isolato, di forma circolare e con un cratere sulla vetta.;;;;4;Formazione eccezionale;10;3 giorni dopo il Primo Quarto;2 giorni dopo l'Ultimo Quarto;50;Rifrattore da 50 mm;Rifrattore da 100 mm;
DOMES GAMBART C;Sistema di domi;Imbriano (da -3.85 miliardi di anni a -3.2 miliardi di anni) ?;Cupole di Gambart C - Jean F. Gambart;(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Francia;francese;19;19° secolo;?;1800;?;1836;Scopritore di 13 comete.;-12.1;12.1° Ovest;3;3.0° Nord;Nord-Ovest;Regione Meridionale del cratere Erathostenes;32;Stadius;246;;;ST07/03;;14;14;8;8;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;3;Formazione molto interessante;8;1 giorno dopo il Primo Quarto;all'Ultimo Quarto;50;Rifrattore da 50 mm;Rifrattore da 100 mm;
DOMES MARIUS;Sistema di domi;Imbriano (da -3.85 miliardi di anni a -3.2 miliardi di anni) ?;Domi di Marius - Simon Maggior;(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Germania;tedesco;16;16° secolo;Gunzenhausen;1570;Ansbach;1624;Scopritore dei 4 satelliti maggiori di Giove, indipendentemente da Galileo, e inventore dei loro nomi. Primo in Occidente ad osservare la galassia di Andromeda.;-54;54.0° Ovest;12;12.0° Nord;Nord-Ovest;Parte centrale dell'Oceanus Procellarum;29;Marius;302;;061N/C 225N/C 233lN/C;ST04/03  MM169;IV-157-H2;5;5;3;3;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Notevole regione, situata ad Ovest di Marius, che comprende decine di domi vulcanici, più o meno allungate nella direzione Nord Sud.;;;;4;Formazione eccezionale;11;4 giorni dopo il Primo Quarto;3 giorni dopo l'Ultimo Quarto;50;Rifrattore da 50 mm;Rifrattore da 100 mm;
DONATI;Cratere;Pre-Imbriano (da -4.55 miliardi di anni a -3.85 miliardi di anni) ?;Giovanni Battista Donati;Birt / Lee (1865);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Italia;italiano;19;19° secolo;Pisa;1826;Firenze;1873;Ha scoperto 7 comete tra cui quella del 1858.  Pioniere della spettroscopia.  Specialista di aurore boreali.;5.2;5.2° Est;-20.7;20.7° Sud;Sud-Est;Regione del cratere Arzachel;55;Arzachel;154;;357S 003S 167C 174S;;IV-101-H1 IV-101-H2;37;37;22;22;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare distrutta.;Versanti scoscesi su cui si trovano Faye a Sud-Ovest e molti crateri anonimi, tutt'intorno.;Pareti poco elevate di forma irregolare, sormontate da un cratere ad Est.;Fondo tormentato. Montagna centrale di 2730 m.;2;Formazione abbastanza interessante;7;al Primo Quarto;6 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;
DOPPELMaggioER;Cratere;Nectariano (da -3.92 miliardi di anni a -3.85 miliardi di anni);Johann G. DoppelMaggioer;Schröter (1802);Nome non assegnato;Nome non assegnato;Nome non assegnato;Matematico e astronomo;Germania;tedesco;18;18° secolo;?;1671;?;1750;Autore di una mappa della Luna.;-41.4;41.4° Ovest;-28.5;28.5° Sud;Sud-Ovest;Regione ad Est del Mare Humorum;51;Mersenius;138;13 e3;048C/S 055C/S 205S 213C/S;MM153;IV-142-H3 IV-143-H1;66;66;39;39;2700;8200;0.0422;A__________________________________________________A;Formazione circolare parzialmente ricoperta dalla lava del Mare Humorum.;Versanti scoscesi a Sud, ma a Nord-Est sono inglobati dai versanti di Puiseux.;Alte pareti a Sud smussate a Nord-Est, e su cui si trovano DoppelMaggioer P e H a Sud-Ovest.;Fondo piatto riempito con la lava del Mare Humorum e piatto a Nord ma tormentato a Sud. Imponente montagna centrale. Collinette e linee di creste.;4;Formazione eccezionale;10;3 giorni dopo il Primo Quarto;2 giorni dopo l'Ultimo Quarto;30;Binocolo 10x;Rifrattore da 50 mm;
DORSA ALDOVANDRI;Cratere;Imbriano (da -3.85 miliardi di anni a -3.2 miliardi di anni) ?;Dorsali di Aldovandri (Ulisse Aldovandri);(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Naturalista e medico;Italia;italiano;16;16° secolo;Bologna;1522;Bologna;1605;Professore all'Università di Bologna nel 1560 e creatore del suo Orto Botanico.  Autore della prima farmacopea.  Numerosi lavori di storia naturale.;29;29.0° Est;24;24.0° Nord;Nord-Est;Parte Sud-Orientale del Mare Serenitatis;24;Bessel;310;9h3 / 11c2 / 11d2 / 12d8;148N/C;;;124;124;73;6;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Dorsale poco marcata orientata nella direzione Nord Sud e situata sul bordo del Mare Serenitatis, a Nord del Mons Argaeus.;;;;2;Formazione abbastanza interessante;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;
DORSA ANDRUSOV;Cratere;Imbriano (da -3.85 miliardi di anni a -3.2 miliardi di anni) ?;Dorsali di Andrusov (Nikolaj I. Andrusov);(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Geologo;URSS;sovietico;19;19° secolo;?;1861;?;1924;??;57;57.0° Est;-1;1.0° Sud;Sud-Est;Bordo Orientale della Luna;49;Langrenus;189;;;;;165;165;97;3;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Dorsale poco marcata sul bordo del Mare Fecunditatis.;Luogo dell'allunaggio della sonda Luna 16.;;;1;Formazione di scarso interesse;3;3 giorni dopo la Luna Nuova;2 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;
DORSA ARGAND;Dorsale;Imbriano (da -3.85 miliardi di anni a -3.2 miliardi di anni) ?;Dorsali di Argand (Emile Argand);(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Geologo;Svizzera;svizzero;20;20° secolo;Ginevra;1879;Neuchâtel;1940;Precursore della tettonica globale.  Lavori sull'origine delle Alpi e dell'Himalaya.;-40;40.0° Ovest;28;28.0° Nord;Nord-Ovest;Regione tra Oceanus Procellarum e Mare Imbrium;19;Brayley;339;;;;;155;155;91;3;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;2;Formazione abbastanza interessante;10;3 giorni dopo il Primo Quarto;2 giorni dopo l'Ultimo Quarto;50;Rifrattore da 50 mm;Rifrattore da 100 mm;
DORSA BARLOW;Dorsale;Imbriano (da -3.85 miliardi di anni a -3.2 miliardi di anni) ?;Dorsali di Barlow (William Barlow);(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Mineralogista;Inghilterra;inglese;19;19° secolo;?;1845;?;1934;??;31;31.0° Est;15;15.0° Nord;Nord-Est;Parte centrale del Mare Tranquillitatis;36;Cauchy;271;;143C 148C;;;124;124;73;6;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Dorsale ramificata e poco elevata, situata a Nord del Mare Tranquillitatis.;;;;1;Formazione di scarso interesse;10;3 giorni dopo il Primo Quarto;2 giorni dopo l'Ultimo Quarto;50;Rifrattore da 50 mm;Rifrattore da 100 mm;
DORSA BURNET;Dorsale;Imbriano (da -3.85 miliardi di anni a -3.2 miliardi di anni) ?;Dorsali di Burnet (Thomas Burnet);(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Naturalista;Inghilterra;inglese;17;17° secolo;?;1635;?;1715;??;-57;57.0° Ovest;27;27.0° Nord;Nord-Ovest;Regione del cratere Aristarchus;18;Aristarchus;341;;237C;;;206;206;121;6;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Dorsale poco marcata. Sul bordo Nord-Est dell'Oceanus Procellarum.;;;;1;Formazione di scarso interesse;12;5 giorni dopo il Primo Quarto;4 giorni dopo l'Ultimo Quarto;50;Rifrattore da 50 mm;Rifrattore da 100 mm;
DORSA CATO;Dorsale;Imbriano (da -3.85 miliardi di anni a -3.2 miliardi di anni) ?;Dorsali di Catone ( Marco Porzio Catone);(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Uomo politico;Roma;romano;-3;3° secolo a.C.;Tuscolo;234 a.C.;?;149 a.C.;Governatore della Sardegna nel 98 a.C.  Autore di un 'Trattato sull'agricoltura' e di una storia di Roma, intitolata 'Origines'.;47;47.0° Est;1;1.0° Nord;Nord-Est;Bordo Settentrionale del Mare Fecunditatis;37;Taruntius;231;;131C;;;145;145;85;4;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Dorsale poco marcata situata a Nord del Mare Fecunditatis.;;;;1;Formazione di scarso interesse;4;4 giorni dopo la Luna Nuova;3 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;
DORSA EUCLIDES F;Dorsale;Imbriano (da -3.85 miliardi di anni a -3.2 miliardi di anni) ?;Dorsali di Euclide F - Euclide;(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Matematico;Grecia;greco;-4;4° secolo a.C.;?;?;Alessandria;?;Animatore della Scuola di Matematica di Alessandria.  Autore di un trattato di geometria 'Gli Elementi' in 13 libri, contenenti numerosi postulati. Autore di numerose altre opere, che sono andate perdute.;-34;34.0° Ovest;-5;5.0° Sud;Sud-Ovest;Parte Sud-Orientale dell'Oceanus Procellarum;41;Euclides;219;;;;;0;0;0;3;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;3;Formazione molto interessante;10;3 giorni dopo il Primo Quarto;2 giorni dopo l'Ultimo Quarto;50;Rifrattore da 50 mm;Rifrattore da 100 mm;
DORSA EWING;Dorsale;Imbriano (da -3.85 miliardi di anni a -3.2 miliardi di anni) ?;Dorsali di Ewing (William Maurice Ewing);(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Geologo;USA;americano;20;20° secolo;Lockney;1906;Galveston;1974;Professore alla Columbia University. Precursore della tettonica a placche.;-38;38.0° Ovest;-11;11.0° Sud;Sud-Ovest;Parte Sud-Orientale dell'Oceanus Procellarum;41;Euclides;221;;036C;;;330;330;194;9;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Dorsale ramificata e poco marcata, situata a Sud dell'Oceanus Procellarum e orientata nella direzione Sud-Est Nord-Ovest.;;;;2;Formazione abbastanza interessante;10;3 giorni dopo il Primo Quarto;2 giorni dopo l'Ultimo Quarto;50;Rifrattore da 50 mm;Rifrattore da 100 mm;
DORSA GEIKIE;Dorsale;Imbriano (da -3.85 miliardi di anni a -3.2 miliardi di anni) ?;Dorsali di Geikie (Sir Archibald Geikie);(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Geologo;Scozia;scozzese;19;19° secolo;?;1835;?;1924;??;53;53.0° Est;-3;3.0° Sud;Sud-Est;Parte Orientale del Mare Fecunditatis;48;Messier;231;;124N;;;247;247;145;5;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Dorsale ben marcata, orientata in direzione Nord Sud, situata nel centro del Mare Fecunditatis.;Ricoperta da alcuni piccoli crateri nella sua parte meridionale.;;;2;Formazione abbastanza interessante;4;4 giorni dopo la Luna Nuova;3 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;
DORSA HARKER;Dorsale;Imbriano (da -3.85 miliardi di anni a -3.2 miliardi di anni) ?;Dorsali di Harker (Alfred Harker);(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Geologo;Gran Bretagna;britannico;20;20° secolo;?;1859;?;1939;??;64;64.0° Est;14;14.0° Nord;Nord-Est;Bordo Est-Nord-Est della Luna;27;Plutarch;262;;112N;;;206;206;121;7;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Dorsale poco marcata situata sul bordo del Mare Crisium.;;;;2;Formazione abbastanza interessante;3;3 giorni dopo la Luna Nuova;2 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;
DORSA LISTER;Dorsale;Imbriano (da -3.85 miliardi di anni a -3.2 miliardi di anni) ?;Dorsali di Lister (Martin Lister);(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Geologo;Inghilterra;inglese;17;17° secolo;Radclive;1638;Epsom;1712;Specialista di fossili.  Scopritore dell'estinzione di alcune specie.;22;22.0° Est;19;19.0° Nord;Nord-Est;Parte Sud-Orientale del Mare Serenitatis;24;Bessel;317;;148C 154C;;;299;299;176;12;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Sistema di dorsali ben marcate a forma di arco di cerchio, situate nel Mare Serenitatis. Si prolungano con Dorsa Smirnov.;;;;3;Formazione molto interessante;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;
DORSA MAWSON;Dorsale;Imbriano (da -3.85 miliardi di anni a -3.2 miliardi di anni) ?;Dorsali di Mawson (Sir Douglas Mawson);(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Esploratore;Australia;australiano;20;20° secolo;Frizinghall;1882;Adelaide;1958;Specialista dell'Antartide e organizzatore di numerose spedizioni.;53;53.0° Est;-7;7.0° Sud;Sud-Est;Parte Orientale del Mare Fecunditatis;48;Messier;191;3g6 / 4g1;124N;;;185;185;109;13;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Estesa dorsale, orientata da Sud-Ovest a Nord-Est.;Vi si trovano Goclenius UA e AB all'estremità Sud, e Langrenus FE e FF all'estremità Nord.;;;2;Formazione abbastanza interessante;4;4 giorni dopo la Luna Nuova;3 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;
DORSA RUBEY;Dorsale;Imbriano (da -3.85 miliardi di anni a -3.2 miliardi di anni) ?;Dorsali di Rubey (William Maldey Rubey);(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Geologo;USA;americano;20;20° secolo;?;1898;?;1974;??;-42;42.0° Ovest;-10;10.0° Sud;Sud-Ovest;Parte Sud-Occidentale dell'Oceanus Procellarum;40;Flamsteed;223;;;;;104;104;61;5;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Dorsale ramificata e poco marcata, orientata in direzione Nord - Sud, che termina a Sud nell'arena di Letronne e su cui si appoggia Letronne A nel suo punto mediano.;;;;2;Formazione abbastanza interessante;10;3 giorni dopo il Primo Quarto;2 giorni dopo l'Ultimo Quarto;50;Rifrattore da 50 mm;Rifrattore da 100 mm;
DORSA SMIRNOV;Dorsale;Imbriano (da -3.85 miliardi di anni a -3.2 miliardi di anni) ?;Dorsali di Smirnov (Serguej S. Smirnov);(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Naturalista;URSS;sovietico;20;20° secolo;?;1895;?;1947;??;25;25.0° Est;25;25.0° Nord;Nord-Est;Parte Sud-Orientale del Mare Serenitatis;24;Bessel;317;;334N 148N 154N/C;MM76;;134;134;79;12;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Sistema di dorsali ben marcate orientate in direzione Nord Sud. E' il sistema più importante del Mare Serenitatis.;Situato ad Est del Mare Serenitatis. Nella sua parte centrale si trova il piccolo cratere Very.;;;3;Formazione molto interessante;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;
DORSA STILLE;Dorsale;Imbriano (da -3.85 miliardi di anni a -3.2 miliardi di anni) ?;Dorsali di Stille (Hans Stille);(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Naturalista;Germania;tedesco;20;20° secolo;?;1876;?;1966;??;-19;19.0° Ovest;27;27.0° Nord;Nord-Ovest;Parte Meridionale del Mare Imbrium;20;Pytheas;336;3g7 / 4g2;;;;82;82;48;2;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Sistema di dorsali poco marcate nel Mare Imbrium a Nord-Est di Lambert.;;;;1;Formazione di scarso interesse;9;2 giorni dopo il Primo Quarto;1 giorno dopo l'Ultimo Quarto;100;Riflettore da 100 mm;Riflettore da 200 mm;
DORSA TETYAEV;Dorsale;Imbriano (da -3.85 miliardi di anni a -3.2 miliardi di anni) ?;Dorsali di Tetjajew (Michail M. Tetjajew);(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Geologo;URSS;sovietico;20;20° secolo;?;1882;?;1956;??;65;65.0° Est;19;19.0° Nord;Nord-Est;Bordo Est-Nord-Est della Luna;27;Plutarch;262;;112N;;;155;155;91;7;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Dorsale poco marcata situata sul bordo Nord-Est del Mare Crisium.;;;;2;Formazione abbastanza interessante;3;3 giorni dopo la Luna Nuova;2 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;
