NOM_SITE;SITE_NAME;LANGUE;LANGUAGE;THEME_FR;THEME_EN;SOUS_THEME;SUB_THEME;ADDRESS;DESCRIPTION_FR;DESCRIPTION_EN;DATE D'ENREGISTREMENT;RECORDING DATE
LPI / THE CLEMENTINE MISSION;LPI / THE CLEMENTINE MISSION;Anglais;English;Sondes lunaires;Lunar probes;Sondes américaines;United States probes;http://www.lpi.usra.edu/expmoon/clementine/clementine.html;Description de la mission Clementine par le Lunar and Planetary Institute avec des liens;Clementine mission description by Lunar and Planetary Institute with links;30/06/2011;30/06/2011
LPOD / LUNAR PICTURE OF THE DAY;LPOD / LUNAR PICTURE OF THE DAY;Anglais;English;Blog;Blog;Astronome professionnel;Professional astronomer;https://www2.lpod.org/wiki/;Le blog de Charles Wood, directeur du comité pour la nomenclature lunaire de l'UAI;Charles Wood (Head of the IAU lunar nomenclature committee) 's blog;17.10.2012;17.10.2012
LUNAR & PLANETARY INFORMATION BULLETIN;LUNAR & PLANETARY INFORMATION BULLETIN;Anglais;English;Magazine d'astronomie;Astronomy magazine;Articles sur la Lune;Moon articles;https://www.lpi.usra.edu/publications/newsletters/lpib/;Le magazine du LPI avec des articles sur l'exploration lunaire;LPI magazine with lunar exploration articles;17.10.2012;17.10.2012
LUNAR EXPLORATION TIMELINE / LPI;LUNAR EXPLORATION TIMELINE / LPI;Anglais;English;Organisme officiel;Official organization;Exploration lunaire;Lunar exploration;https://www.lpi.usra.edu/lunar/missions/;Historique de l'exploration lunaire selon le LPI;Lunar exploration timeline by LPI;17.10.2012;17.10.2012
LUNAR MAP CATALOGUE / LPI;LUNAR MAP CATALOGUE / LPI;Anglais;English;Atlas lunaire en ligne;On line lunar atlas;Atlas lunaire professionnel;Professional lunar atlas;https://www.lpi.usra.edu/resources/mapcatalog/;Le catalogue des cartes lunaires américaines détenues par le LPI;LPI stored american lunar maps;17.10.2012;17.10.2012
LUNAR OBSERVING / STARGAZERS LOUNGE;LUNAR OBSERVING / STARGAZERS LOUNGE;Anglais;English;Forum d'astronomie;Astronomy Forum;Astronomie lunaire;Lunar astronomy;https://stargazerslounge.com/forum/30-observing-lunar/;Forum d'échanges pour observateurs et astrophotographes avec section Lune;Observers and astrphotographers exchange forum with lunar section;14/10/2022;14/10/2022
LUNAR OBSERVING AND IMAGING / CLOUDY NIGHTS;LUNAR OBSERVING AND IMAGING / CLOUDY NIGHTS;Anglais;English;Forum d'astronomie;Astronomy Forum;Astronomie lunaire;Lunar astronomy;https://www.cloudynights.com/forum/84-lunar-observing-and-imaging/;Forum d'échanges pour observateurs et astrophotographes avec section Lune;Observers and astrphotographers exchange forum with lunar section;14/10/2022;14/10/2022
LUNAR ORBITER PHOTOGRAPHIC ATLAS OF THE MOON;LUNAR ORBITER PHOTOGRAPHIC ATLAS OF THE MOON;Anglais;English;Sondes lunaires;Lunar probes;Sondes américaines;United States probes;https://ntrs.nasa.gov/citations/19730005152;Les images des sondes américaines Lunar Orbiter;Lunar Orbiters probes pictures;17.10.2012;17.10.2012
LUNAR PIONEER / LE BLOG DE JOEL RAUPE;LUNAR PIONEER /  JOEL RAUPE 'S BLOG;Anglais;English;Blog;Blog;Astronome professionnel;Professional astronomer;http://lunarnetworks.blogspot.fr/;Le blog de Joel Raupe qui regroupe l'actualité lunaire;Joel Raupe 's blog presenting lunar news;17.10.2012;17.10.2012
LUNAR PROSPECTOR HOMEPAGE;LUNAR PROSPECTOR HOMEPAGE;Anglais;English;Sondes lunaires;Lunar probes;Sondes américaines;United States probes;https://solarsystem.nasa.gov/missions/lunar-prospector/in-depth/;Site officiel de la mission Lunar Prospector de la NASA;Official site of Lunar prospector NASA mission;30/06/2011;30/06/2011
LUNAR SAMPLES ATLAS / LPI;LUNAR SAMPLES ATLAS / LPI;Anglais;English;Organisme officiel;Official organization;Missions Apollo;Apollo missions;https://www.lpi.usra.edu/lunar/samples/atlas/;Présentation par le LPI des échantillons lunaires ramenés par les missions Apollo;Appolo missions lunar samples présentation web site by LPI;14/10/2022;14/10/2022
LUNAR SOURCEBOOK;LUNAR SOURCEBOOK;Anglais;English;Livre en ligne;On line e-book;Géologie lunaire;Lunar geology;https://www.lpi.usra.edu/publications/books/lunar_sourcebook/;Le grand classique de Grant H. Heiken paru en 1991;Famous lunar book by Grant H. Heiken published on 1991;17.10.2012;17.10.2012
LUNOKHOD PANORAMAS;LUNOKHOD PANORAMAS;Anglais;English;Sondes lunaires;Lunar probes;Sondes soviétiques;Soviet probes;https://www.planetology.ru/panoramas/;Panoramas de Lunokhod 1 & 2;Lunokhod 1 & 2 panoramas;17.10.2012;17.10.2012
MAP OF THE MOON / MAURICE COLLINS;MAP OF THE MOON / MAURICE COLLINS;Anglais;English;Atlas lunaire en ligne;On line lunar atlas;Atlas lunaire amateur;Amateur lunar atlas;https://www.mooncalc.org/#/48.8052,1.9324,3/2022.10.05/09:43/1/3;Carte de la Face visible de la Lune de Maurice Collins;Maurice Collins map of the Nearside of the Moon ;17.10.2012;17.10.2012
MOON ZOO / LE ZOO DE LA LUNE;MOON ZOO;Anglais;English;Site spécialisé;Specialized site;Astronomie participative;Citizen astronomy;http://www.moonzoo.org/;Un site qui vous permet de participer à un programme professionnel d'identification des formations lunaires.;Site allowing you for participating in a professional program about lunar formations identification.;17.10.2012;17.10.2012
MOONVIEWS;MOONVIEWS;Anglais;English;Sondes lunaires;Lunar probes;Sondes américaines;United States probes;http://www.moonviews.com;Restauration des images des sondes Lunar Orbiter;Lunar Orbiter Image Recovery Project;30/06/2011;30/06/2011
NAMED LUNAR FORMATIONS 1935;;Anglais;English;Livre en ligne;On line e-book;Nomenclature lunaire;Lunar nomenclature;https://archive.org/details/in.ernet.dli.2015.177494;La nomenclature lunaire révisée par Mary Blagg et Muller en 1935 ;The revised lunar nomenclature proposed by Mary Blagg & Muller to IUA on 1935;17.10.2012;17.10.2012
NASA / GRAIL;NASA / GRAIL;Anglais;English;Sondes lunaires;Lunar probes;Sondes américaines;United States probes;https://www.eoportal.org/satellite-missions/grail#orbit-and-mission-phases;Le site de la mission GRAIL de la NASA aux deux satellites lunaires jumeaux;The Web site of the GRAIL NASA mission with its two twin lunar satellites;16.10.2012;16.10.2012
NASA / LCROSS HOMEPAGE;NASA / LCROSS HOMEPAGE;Anglais;English;Sondes lunaires;Lunar probes;Sondes américaines;United States probes;https://www.nasa.gov/mission_pages/LCROSS/overview/index.html;Site officiel de la mission Lunar CRater Observation and Sensing Satellite de la NASA;Official site of Lunar CRater Observation and Sensing Satellite NASA mission;30/06/2011;30/06/2011
NASA / LRO HOMEPAGE;NASA / LRO HOMEPAGE;Anglais;English;Sondes lunaires;Lunar probes;Sondes américaines;United States probes;http://lunar.gsfc.nasa.gov/;Site officiel de la mission Lunar Reconnaissance Orbiter de la NASA;Official site of Lunar Reconnaissance Orbiter NASA mission;30/06/2011;30/06/2011
NASA / LRO IMAGES;NASA / LRO IMAGES;Anglais;English;Sondes lunaires;Lunar probes;Sondes américaines;United States probes;http://www.nasa.gov/mission_pages/LRO/multimedia/index.html;Images de la sonde LRO de la NASA;LRO NASA probe pictures ;30/06/2011;30/06/2011
NASA / LROC QUICKMAP;NASA / LROC QUICKMAP;Anglais;English;Atlas lunaire en ligne;On line lunar atlas;Atlas lunaire professionnel;Professional lunar atlas;http://target.lroc.asu.edu/da/qmap.html;Cartes de la Lune en ligne associant les images WAC et NAC de LRO et atteignant une résolution d'1 mètre par endroit. ;Online lunar map combining LRO WAC and NAC pictures and reaching 1 meter resolution on some areas. ;30/06/2011;30/06/2011
NASA / LUNAR TIMELINE;NASA / LUNAR TIMELINE;Anglais;English;Sondes lunaires;Lunar probes;Sondes lunaires;Lunar probes;https://solarsystem.nasa.gov/moons/earths-moon/overview/;Liste établie par la NASA des sondes lunaires avec brève description;Liste of lunar probes from NASA with a brief description;30/06/2011;30/06/2011
NASA FIVE MILLENIUM CATALOG OF LUNAR ECLIPSES;NASA FIVE MILLENIUM CATALOG OF LUNAR ECLIPSES;Anglais;English;Organisme officiel;Official organization;Eclipses;Eclipses;https://eclipse.gsfc.nasa.gov/LEcat5/LEcatalog.html;Le site de la NASA sur les éclipses lunaires;NASA Web site about lunar eclipses;17.10.2012;17.10.2012
NOMENCLATURE LUNAIRE OFFICIELLE DE L'UAI;IAU OFFICIAL LUNAR NOMENCLATURE;Anglais;English;Organisme officiel;Official organization;Nomenclature lunaire;Lunar nomenclature;https://planetarynames.wr.usgs.gov/Page/MOON/target;Le site de la nomenclature lunaire officielle de l'Union Astronomique Internationale / UAI ;Web site of the official lunar nomenclature by the International Astronomical Union / IAU;17.10.2012;17.10.2012
NRL / THE CLEMENTINE MISSION;THE CLEMENTINE MISSION;Anglais;English;Sondes lunaires;Lunar probes;Sondes américaines;United States probes;https://www.nrl.navy.mil/Media/News/Article/2504533/nrl-celebrates-25th-anniversary-of-historic-lunar-orbiter-clementine/;Description de la mission Clementine du Naval Reasearch Laboratory;Clementine mission description by Naval Reasearch Laboratory;30/06/2011;30/06/2011
